 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Pré-Natal por Município e Ano
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"Total"
"320500 SERRA";-;-;-;9;24;16;562;2354;6038;2405;3567;3421;5852;7154;8357;8407;5331;-;53497
"320501 SOORETAMA";-;-;54;717;1333;1722;2232;1475;1875;2358;2346;2234;2355;1754;2459;2519;1161;-;26594
"320503 VARGEM ALTA";166;1328;1314;781;563;617;704;768;1067;1001;981;536;636;772;846;712;648;194;13634
"320506 VENDA NOVA DO IMIGRANTE";93;130;-;55;359;635;733;906;876;1377;1281;1619;1714;1621;2224;2357;1676;2025;19681
"320510 VIANA";-;-;56;674;562;2486;2248;3255;2553;1946;1887;2071;2347;4277;3417;3451;5390;5144;41764
"320515 VILA PAVAO";-;-;-;-;-;-;77;-;-;-;-;-;-;-;80;20;11;71;259
"320517 VILA VALERIO";-;-;-;-;-;-;-;-;-;-;-;-;47;84;124;84;138;267;744
"320520 VILA VELHA";-;-;-;-;12;310;2058;3861;4463;4942;5987;4814;3767;4467;5005;4823;4586;5303;54398
"320530 VITORIA";119;470;3644;6396;7718;8508;8935;9983;10671;9083;11449;11808;15947;12550;15971;14566;12851;14829;175498
" MUNICIPIO IGNORADO - RJ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"330010 ANGRA DOS REIS";-;907;3011;3369;4195;4634;4596;4183;5138;4449;6663;7897;7945;7396;7022;5558;5931;-;82894
"330015 APERIBE";-;-;-;55;294;347;45;91;260;423;290;10;6;8;37;13;-;-;1879
"330020 ARARUAMA";1;113;343;661;872;783;956;667;628;561;696;448;421;179;596;666;1132;1081;10804
"330022 AREAL";287;295;289;445;124;150;178;219;256;321;292;345;303;309;424;365;519;512;5633
"330023 ARMACAO DOS BUZIOS";-;-;235;1300;1146;973;872;996;995;1255;839;925;1248;1319;1747;2240;2225;889;19204
"330025 ARRAIAL DO CABO";-;-;290;255;922;1160;897;973;1068;657;1182;1387;1120;1049;766;1092;742;1649;15209
"330030 BARRA DO PIRAI";-;-;-;-;-;-;-;58;256;1721;961;777;366;7647;1083;381;532;449;14231
"330040 BARRA MANSA";-;-;65;326;767;1443;2122;2607;3700;5008;5938;5629;4549;4525;4843;4346;6343;7395;59606
"330045 BELFORD ROXO";-;144;433;539;1087;1192;2124;1555;3844;3722;5668;3415;4614;4366;5430;4455;2422;-;45010
"330050 BOM JARDIM";-;52;252;211;380;665;696;831;949;856;1040;1380;1152;831;931;313;621;434;11594
"330060 BOM JESUS DO ITABAPOANA";107;260;285;85;115;133;659;285;237;250;256;293;190;217;234;101;152;63;3922
"330070 CABO FRIO";198;288;-;1057;1469;2162;2904;3382;3867;2508;3627;3356;3867;4805;5602;5318;7286;6847;58543
"330080 CACHOEIRAS DE MACACU";-;-;-;43;170;474;506;458;668;501;629;670;547;644;575;661;638;763;7947
"330090 CAMBUCI";-;-;-;6;143;322;247;351;216;171;157;176;120;100;10;-;-;-;2019
"330093 CARAPEBUS";-;-;27;94;77;78;123;70;39;19;16;4;32;22;28;3;-;20;652
"330095 COMENDADOR LEVY GASPARIAN";43;122;128;160;174;168;97;77;90;117;184;236;254;267;207;208;182;293;3007
"330100 CAMPOS DOS GOYTACAZES";-;372;768;606;650;837;622;474;506;176;7;-;-;-;108;7;719;2005;7857
"330110 CANTAGALO";-;281;502;545;592;835;846;849;948;1110;936;1008;734;999;983;1158;1284;1104;14714
"330115 CARDOSO MOREIRA";-;12;-;-;-;-;-;51;109;52;60;16;71;8;11;8;3;3;404
"330120 CARMO";-;6;214;230;233;187;357;417;196;318;273;249;457;295;284;359;348;1208;5631
"330130 CASIMIRO DE ABREU";-;6;-;-;393;1235;1589;1402;1890;1181;1347;1886;1897;2118;1767;1706;2835;2638;23890
"330140 CONCEICAO DE MACABU";-;26;3;-;3;29;7;19;47;57;22;63;82;147;334;449;349;171;1808
"330150 CORDEIRO";-;-;22;123;221;396;479;432;387;615;1020;560;371;762;832;858;427;-;7505
"330160 DUAS BARRAS";-;653;147;-;-;-;-;-;5;43;63;49;51;86;91;105;69;-;1362
"330170 DUQUE DE CAXIAS";478;2921;1991;2526;4718;6300;6301;6903;9823;8861;12096;12189;12931;12945;12295;10705;3644;-;127627
"330180 ENGENHEIRO PAULO DE FRONTIN";41;275;351;329;466;352;372;467;346;424;508;613;598;614;716;768;783;900;8923
"330185 GUAPIMIRIM";-;-;74;134;158;89;47;368;99;149;328;327;274;485;661;583;555;-;4331
"330187 IGUABA GRANDE";-;219;285;537;450;806;860;790;904;835;939;1353;1029;803;1034;1072;1354;2132;15402
"330190 ITABORAI";-;59;393;329;2553;7125;10410;11712;11484;9332;10696;9849;9623;16248;9901;8099;10194;4582;132589
"330200 ITAGUAI";-;-;79;118;36;52;31;215;428;741;665;524;319;67;318;338;337;-;4268
"330205 ITALVA";-;-;-;-;-;25;59;14;5;29;13;67;7;232;4;-;-;-;455
"330210 ITAOCARA";-;-;-;7;34;103;74;56;27;21;54;48;50;41;23;9;6;18;571
"330220 ITAPERUNA";8;56;91;110;254;403;343;273;199;90;48;59;60;63;84;77;187;346;2751
"330225 ITATIAIA";-;-;-;-;-;-;-;-;-;-;-;-;40;551;734;1096;1524;1514;5459
"330227 JAPERI";-;-;-;20;51;79;66;-;-;-;42;47;260;825;1793;2213;2180;3946;11522
"330230 LAJE DO MURIAE";-;-;-;19;23;132;128;38;20;221;206;237;580;408;6;638;581;180;3417
"330240 MACAE";97;792;1251;1895;3476;4561;5942;5725;6927;5867;6383;95661;5833;6280;7015;25249;6342;8138;197434
"330245 MACUCO";-;40;15;43;249;244;131;44;72;28;18;24;7;21;-;4;7;24;971
"330250 MAGE";-;-;-;118;1899;2954;3061;3810;7610;10391;10456;11453;11827;11615;13240;12253;12515;12320;125522
"330260 MANGARATIBA";-;-;-;-;-;-;-;56;275;97;455;992;1117;880;1158;1332;1321;418;8101
"330270 MARICA";-;63;384;365;551;785;930;1157;1314;1113;1140;1495;1180;1374;1598;2590;4045;5620;25704
"330280 MENDES";-;-;-;11;29;104;37;258;620;612;751;1056;918;956;818;1106;1278;1005;9559
"330285 MESQUITA";-;-;-;-;-;-;-;161;552;1034;1524;1770;2520;2374;2977;3118;2780;4470;23280
"330290 MIGUEL PEREIRA";-;40;174;43;151;373;198;174;263;471;342;327;396;474;1042;583;319;-;5370
"330300 MIRACEMA";-;-;-;-;25;170;243;411;536;465;458;478;347;113;1;175;162;124;3708
"330310 NATIVIDADE";-;-;-;55;383;1174;675;924;916;500;666;744;576;487;579;487;440;182;8788
"330320 NILOPOLIS";-;41;7;409;41;363;378;572;1391;3216;2752;2878;2518;2399;3445;5479;3666;2379;31934
"330330 NITEROI";-;2844;5073;5520;6739;5059;2796;3133;3954;5573;5490;4852;5465;4884;8713;9470;6132;-;85697
"330340 NOVA FRIBURGO";262;1393;580;491;778;925;1071;966;1002;1501;1307;1220;1283;1383;738;790;164029;1239;180958
"330350 NOVA IGUACU";-;284;175;401;1940;3391;3522;4512;9071;14074;14344;16584;17578;23988;23201;29509;24930;15154;202658
"330360 PARACAMBI";90;146;131;187;367;521;810;503;1353;1458;1171;1541;846;977;1298;1256;1340;1884;15879
"330370 PARAIBA DO SUL";39;91;787;1610;1788;1872;1857;2070;2158;2180;1904;1612;1875;1657;1322;1905;1541;2207;28475
"330380 PARATY";-;-;-;42;677;1549;1198;378;1814;1576;2059;1729;1576;1339;773;1317;1761;1172;18960
"330385 PATY DO ALFERES";-;22;246;217;266;322;252;171;261;355;310;85;104;102;149;287;543;314;4006
"330390 PETROPOLIS";130;778;2848;3587;4140;5218;5522;5813;5402;4741;4781;4759;4257;4461;5054;6754;7372;2653;78270
"330395 PINHEIRAL";-;-;-;10;736;982;867;804;961;1332;1386;1719;2008;1797;1998;1723;1949;1891;20163
"330400 PIRAI";-;-;268;604;789;1492;1013;2284;1721;2316;1645;1651;2027;2035;1713;1844;1417;1710;24529
"330410 PORCIUNCULA";28;2;-;1;9;18;6;41;62;837;1031;1263;1237;1040;961;434;201;-;7171
"330411 PORTO REAL";-;-;150;135;275;473;516;894;1179;719;926;1298;1177;1706;1806;1987;2207;1639;17087
"330412 QUATIS";-;-;247;80;79;24;1;12;36;10;7;-;-;49;7;3;2;239;796
"330414 QUEIMADOS";-;-;24;275;546;569;749;1002;1074;735;553;2033;3900;5322;3310;2488;2960;1727;27267
"330415 QUISSAMA";-;-;-;400;795;1007;1369;1573;1714;1828;1972;2026;2448;2341;2642;2500;2736;3086;28437
"330420 RESENDE";-;237;552;1185;1546;2174;2667;2388;3927;3546;4290;4085;3547;4222;4196;4734;5155;5277;53728
"330430 RIO BONITO";2;107;96;288;771;1726;1729;1295;1218;1635;1328;1798;1993;3528;2012;2000;1541;2035;25102
"330440 RIO CLARO";-;-;237;289;244;332;258;411;412;251;294;589;1257;1348;1224;1134;1312;1451;11043
"330450 RIO DAS FLORES";-;-;25;121;102;160;182;214;226;207;286;241;250;161;234;339;512;742;4002
"330452 RIO DAS OSTRAS";-;-;-;-;-;-;-;-;-;-;616;592;945;1014;787;781;1266;2230;8231
"330455 RIO DE JANEIRO";-;-;445;2318;3653;6983;126211;255950;185365;218984;261139;79955;13180;47259;111326;177477;227017;216593;1933855
"330460 SANTA MARIA MADALENA";-;-;-;88;89;171;154;252;131;57;82;92;162;216;122;96;119;76;1907
"330470 SANTO ANTONIO DE PADUA";-;-;3;168;343;336;352;442;544;560;581;513;492;502;458;232;149;616;6291
"330475 SAO FRANCISCO DE ITABAPOANA";-;-;-;-;-;-;6;95;63;131;255;151;81;79;497;403;994;918;3673
"330480 SAO FIDELIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;31;136;29;197
"330490 SAO GONCALO";-;-;-;934;7901;12415;11708;10360;10895;11187;14516;15620;15841;16781;15795;17580;17165;12020;190718
"330500 SAO JOAO DA BARRA";-;-;-;-;-;-;-;-;-;5;61;15;28;29;173;36;67;85;499
"330510 SAO JOAO DE MERITI";1;41;399;1131;1530;1273;1270;1422;3738;3444;2918;5106;7141;9777;9245;9220;6568;8921;73145
"330513 SAO JOSE DE UBA";-;-;-;96;1;1;39;25;109;221;65;31;32;25;118;136;97;69;1065
"330515 SAO JOSE DO VALE DO RIO PRETO";-;-;-;86;203;264;287;228;343;266;136;84;40;222;288;189;130;64;2830
"330520 SAO PEDRO DA ALDEIA";-;17;159;434;781;671;2569;2858;3019;3383;2618;2390;2686;1237;1835;1975;2721;2938;32291
"330530 SAO SEBASTIAO DO ALTO";-;-;120;212;178;175;265;113;145;259;132;134;93;144;174;153;350;375;3022
"330540 SAPUCAIA";-;-;-;176;396;474;435;719;544;311;1830;579;486;332;477;2342;704;355;10160
"330550 SAQUAREMA";387;1189;1024;1182;1073;1371;1734;1795;1653;1222;1553;1908;1982;2038;1958;1332;1929;2622;27952
"330555 SEROPEDICA";-;-;14;256;242;627;150;155;554;652;265;318;351;3156;3623;2579;3917;4789;21648
"330560 SILVA JARDIM";-;-;18;456;360;516;607;484;700;477;664;527;599;547;699;1013;419;-;8086
"330570 SUMIDOURO";-;466;696;846;589;677;506;487;336;310;197;368;326;322;45;19;118;28;6336
"330575 TANGUA";95;113508;212;-;97;678;981;1098;1038;972;872;832;1187;1184;863;763;1037;538;125955
"330580 TERESOPOLIS";20;1018;3321;3812;3954;4057;3767;4323;4264;4310;4066;3352;3257;2868;2982;3497;3863;1545;58276
"330590 TRAJANO DE MORAES";-;-;-;-;-;89;318;287;442;165;17;172;142;101;76;58;103;169;2139
"330600 TRES RIOS";-;16;1099;1030;1409;2950;2796;2625;2940;4127;3704;3610;3615;4901;4446;3807;4464;4732;52271
"330610 VALENCA";-;-;-;-;-;-;-;17;239;320;599;902;1080;1066;2039;2124;913;-;9299
"330615 VARRE-SAI";-;-;-;174;656;885;770;681;574;703;818;160;41;103;64;158;380;238;6405
"330620 VASSOURAS";52;29;88;367;1281;1822;2364;2554;2820;1293;2137;2595;2814;2303;1834;2076;2453;2328;31210
"330630 VOLTA REDONDA";283;1573;2998;2271;2735;2627;2916;5569;8935;7828;10478;11554;11320;14024;10033;9142;9916;4136;118338
" MUNICIPIO IGNORADO - SP";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"350010 ADAMANTINA";-;-;-;-;-;-;-;225;791;756;719;680;857;744;704;832;1192;283;7783
"350020 ADOLFO";-;-;12;60;188;103;93;80;59;103;225;188;95;210;192;318;489;295;2710
"350030 AGUAI";-;-;-;1;-;7;13;5;-;-;-;-;-;-;-;-;-;-;26
"350040 AGUAS DA PRATA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"350050 AGUAS DE LINDOIA";-;-;-;-;-;-;-;-;809;42;235;262;272;123;43;86;191;292;2355
"350055 AGUAS DE SANTA BARBARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"350060 AGUAS DE SAO PEDRO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"350070 AGUDOS";-;-;-;-;-;90;56;592;1152;961;878;671;1223;870;660;912;922;223;9210
"350075 ALAMBARI";-;-;-;-;-;-;-;-;-;-;-;-;72;194;471;575;471;492;2275
"350080 ALFREDO MARCONDES";-;-;76;113;95;296;145;252;369;264;296;208;249;200;251;220;226;239;3499
"350090 ALTAIR";-;-;-;18;40;5;28;3;9;7;10;231;313;236;213;157;167;67;1504
"350100 ALTINOPOLIS";-;-;72;886;330;344;82;87;162;399;144;32;31;60;62;276;216;221;3404
"350110 ALTO ALEGRE";-;-;-;1;-;-;-;6;155;265;223;196;213;230;241;261;94;-;1885
"350115 ALUMINIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"350120 ALVARES FLORENCE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;14;186;198;21;419
"350130 ALVARES MACHADO";60;151;628;661;928;581;893;897;1091;1314;1153;1006;1298;391;651;1276;1374;1254;15607
"350140 ALVARO DE CARVALHO";-;3;271;461;339;434;557;782;454;269;374;415;368;226;409;603;373;441;6779
"350150 ALVINLANDIA";-;81;173;178;127;208;206;106;155;112;122;126;210;198;200;246;292;188;2928
"350160 AMERICANA";-;-;-;-;3;33;46;74;376;548;1482;1262;1376;1019;1310;1808;2005;1809;13151
"350170 AMERICO BRASILIENSE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"350180 AMERICO DE CAMPOS";-;-;-;-;-;-;-;-;-;-;-;2;46;30;2;22;56;32;190
"350190 AMPARO";733;2076;2470;2978;3406;3666;3447;3553;3619;3718;3433;3586;3422;2734;2986;2922;2992;3265;55006
"350200 ANALANDIA";-;142;45;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;192
"350210 ANDRADINA";-;-;-;-;176;636;609;641;30;24;136;76;367;1344;1674;1598;814;-;8125
"350220 ANGATUBA";43;19;20;-;136;294;978;1390;229;400;389;260;399;455;526;548;467;212;6765
"350230 ANHEMBI";-;-;-;-;-;-;-;-;-;156;535;239;469;631;529;441;774;177;3951
"350240 ANHUMAS";-;14;3;42;217;280;378;585;499;489;322;309;323;326;504;400;306;354;5351
"350250 APARECIDA";-;-;-;150;351;445;180;300;409;923;747;1100;1258;653;580;629;1224;453;9402
"350260 APARECIDA D'OESTE";-;-;49;302;325;345;355;375;389;402;232;261;238;289;193;256;331;339;4681
"350270 APIAI";-;-;-;708;916;757;949;1182;2174;2341;2290;2047;1902;2471;2090;1799;2342;2332;26300
"350275 ARACARIGUAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"350280 ARACATUBA";-;-;-;959;2953;3064;2243;1833;1804;1530;2274;1722;2595;3075;2182;1845;1632;4519;34230
"350290 ARACOIABA DA SERRA";-;-;-;-;74;611;419;206;490;480;396;481;584;651;474;412;536;515;6329
"350300 ARAMINA";-;-;58;119;113;172;219;150;105;116;141;223;424;341;119;118;94;84;2596
"350310 ARANDU";-;54;243;298;-;-;-;-;-;39;96;36;86;195;601;588;732;958;3926
"350315 ARAPEI";-;-;17;99;128;110;132;163;65;54;118;83;114;171;231;150;181;163;1979
"350320 ARARAQUARA";-;-;261;1253;1612;1843;2433;3046;3038;3113;2807;1985;2625;2671;5003;5569;4880;5505;47644
"350330 ARARAS";-;-;414;289;848;2834;2897;4188;4441;3639;3631;4072;4204;4512;5155;4575;4576;3998;54273
"350335 ARCO-IRIS";6;85;38;49;80;95;118;131;122;101;121;80;110;149;161;99;166;108;1819
"350340 AREALVA";-;-;-;-;-;-;-;-;204;264;274;470;581;476;430;459;556;511;4225
"350350 AREIAS";-;-;26;366;486;274;302;278;271;266;230;243;261;233;250;186;270;285;4227
"350360 AREIOPOLIS";-;-;-;-;-;60;439;426;396;1353;562;1151;1043;941;675;833;977;633;9489
"350370 ARIRANHA";-;-;-;-;-;-;-;-;-;-;134;144;92;58;111;116;70;36;761
"350380 ARTUR NOGUEIRA";13;112;170;312;884;752;455;264;689;2605;2324;2591;1725;1439;1641;1538;2066;2152;21732
"350390 ARUJA";-;-;-;-;-;-;-;-;-;-;82;28;-;41;2608;4966;-;-;7725
"350395 ASPASIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;93;116;105;363
"350400 ASSIS";181;87;110;116;87;268;325;431;350;536;1175;715;1209;1020;879;1213;1079;968;10749
"350410 ATIBAIA";-;-;-;-;105;1215;2130;3078;3057;2932;2585;2309;2942;1941;3247;3089;3477;1541;33648
"350420 AURIFLAMA";-;-;-;-;-;238;399;4;-;-;-;-;13;51;64;18;-;-;787
"350430 AVAI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;51;-;-;52
"350440 AVANHANDAVA";-;-;-;51;187;229;119;144;417;876;626;722;1107;1134;874;733;361;60;7640
"350450 AVARE";-;-;-;36;66;110;520;534;941;612;392;644;1432;1440;97;11;12;100;6947
"350460 BADY BASSITT";-;-;-;-;-;-;-;-;-;-;-;-;-;-;157;699;-;-;856
"350470 BALBINOS";-;-;-;-;-;-;-;-;-;-;-;-;-;18;62;75;62;108;325
"350480 BALSAMO";-;-;-;-;70;12;-;-;-;-;-;-;-;-;-;-;-;-;82
"350490 BANANAL";20;156;253;461;400;385;715;371;379;375;247;225;290;115;173;274;237;228;5304
"350500 BARAO DE ANTONINA";-;-;-;143;306;296;329;279;257;273;416;512;321;430;328;389;477;190;4946
"350510 BARBOSA";-;-;-;-;-;2;128;31;126;-;-;-;-;-;-;-;-;-;287
"350520 BARIRI";-;-;132;120;107;133;73;150;547;687;620;434;727;612;380;293;115;84;5214
"350530 BARRA BONITA";-;-;-;-;5;-;-;-;-;2;-;1;7;87;123;46;163;96;530
"350535 BARRA DO CHAPEU";-;-;143;433;959;762;576;593;797;792;639;454;545;561;449;413;504;556;9176
"350540 BARRA DO TURVO";4;76;26;84;46;491;615;471;643;811;634;727;674;841;601;784;900;877;9305
"350550 BARRETOS";-;-;-;-;-;-;102;154;289;263;270;169;380;148;225;1267;1158;319;4744
"350560 BARRINHA";-;7;56;217;496;237;200;706;1222;1224;592;243;56;56;45;46;31;21;5455
"350570 BARUERI";-;-;-;-;-;-;1291;1704;678;101;112;25;-;-;-;614;1652;1012;7189
"350580 BASTOS";-;-;-;315;646;1557;1998;2667;2565;2312;2157;2266;1923;1868;2133;1914;2341;2419;29081
"350590 BATATAIS";-;-;4;6;1;3;85;490;702;935;698;851;944;1345;2888;2716;3119;1521;16308
"350600 BAURU";-;-;-;-;-;-;323;388;1263;2426;2468;2220;2508;2585;2828;3481;4575;4472;29537
"350610 BEBEDOURO";-;-;15;259;202;875;1631;2107;1656;1473;1373;1793;1932;2238;2107;1879;2329;2275;24144
"350620 BENTO DE ABREU";-;-;62;274;211;230;318;363;329;246;329;220;209;118;263;97;89;-;3358
"350630 BERNARDINO DE CAMPOS";-;-;-;138;677;566;901;896;1034;814;998;1009;1054;556;695;749;500;-;10587
"350635 BERTIOGA";2;143;153;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;332
"350640 BILAC";-;69;112;203;531;780;889;216;339;624;400;314;660;1570;736;232;180;-;7855
"350650 BIRIGUI";-;10;148;313;148;1527;350;241;20;53;98;484;1821;2472;1790;2411;163692;395;175973
"350660 BIRITIBA-MIRIM";-;-;-;-;122;320;253;395;397;562;656;925;621;796;1212;1114;1856;1452;10681
"350670 BOA ESPERANCA DO SUL";-;-;-;-;-;-;-;-;56;452;607;694;719;892;740;401;473;283;5317
"350680 BOCAINA";-;-;-;-;-;-;-;-;-;166;488;505;683;504;611;690;571;156;4374
"350690 BOFETE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"350700 BOITUVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"350710 BOM JESUS DOS PERDOES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"350715 BOM SUCESSO DE ITARARE";-;-;193;441;556;624;710;648;770;704;681;449;529;540;544;573;518;462;8942
"350720 BORA";-;-;-;-;-;-;-;-;-;-;-;-;-;36;161;21;-;43;261
"350730 BORACEIA";-;-;-;-;2;22;7;61;298;364;352;307;280;105;38;79;123;86;2124
"350740 BORBOREMA";-;-;-;-;-;-;-;71;57;132;204;116;72;176;240;299;344;321;2032
"350745 BOREBI";-;-;-;59;240;177;177;133;156;157;117;121;237;124;32;82;57;32;1901
"350750 BOTUCATU";-;-;-;-;-;245;15280;6026;3455;4634;4343;4836;5007;3985;18795;1539;3480;3586;75211
"350760 BRAGANCA PAULISTA";-;-;636;1204;1407;2047;1978;2487;3826;5743;5362;5500;5911;5035;4745;4663;4378;6242;61164
"350770 BRAUNA";-;-;19;20;156;246;272;320;437;479;557;727;662;397;521;654;493;480;6440
"350775 BREJO ALEGRE";-;-;59;3;180;255;46;-;12;77;54;67;101;93;138;95;191;240;1611
"350780 BRODOWSKI";-;-;11;7;84;4;124;120;-;-;-;-;33;94;70;192;110;146;995
"350790 BROTAS";-;-;-;-;113;360;384;358;154;200;236;134;30;-;18;-;-;-;1987
"350800 BURI";-;-;-;314;1130;1344;1288;1119;728;1816;744;799;924;1354;1467;1130;1464;625;16246
"350810 BURITAMA";-;-;-;293;890;891;775;885;153;2;6;829;324;1090;1818;1060;1879;-;10895
"350820 BURITIZAL";-;-;109;140;70;-;-;-;21;-;-;-;-;48;3;-;13;70;474
"350830 CABRALIA PAULISTA";-;-;-;-;-;-;-;-;-;-;-;-;10;30;42;11;10;3;106
"350840 CABREUVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;70;26;111
"350850 CACAPAVA";-;-;30;-;-;-;1;422;742;2838;4141;3572;3786;2863;2930;3239;3066;3290;30920
"350860 CACHOEIRA PAULISTA";15;193;199;269;569;1643;976;517;762;801;911;613;668;885;1020;1228;1424;904;13597
"350870 CACONDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;198;156;124;-;478
"350880 CAFELANDIA";-;-;93;-;76;172;225;54;66;231;149;20;6;20;-;13;144;90;1359
"350890 CAIABU";-;-;-;192;302;308;287;294;276;191;187;207;293;182;270;357;226;169;3741
"350900 CAIEIRAS";-;-;45;32;24;39;-;-;-;-;-;-;-;-;-;-;-;-;140
"350910 CAIUA";119;249;267;449;404;397;438;461;547;415;377;361;300;205;169;230;214;343;5945
"350920 CAJAMAR";-;-;-;128;300;737;1591;1640;1730;2733;3126;2927;2999;2830;3236;3415;3930;3724;35046
"350925 CAJATI";68;97;101;485;854;621;881;823;783;756;533;496;736;929;1072;1549;2018;2111;14913
"350930 CAJOBI";-;-;-;2;31;14;24;155;31;4;-;3;1;5;3;5;1;1069;1348
"350940 CAJURU";-;7;48;193;680;711;842;1239;1060;769;409;1166;1041;1228;1803;1918;1821;664;15599
"350945 CAMPINA DO MONTE ALEGRE";-;-;179;620;554;535;565;577;736;806;572;493;291;432;483;183;426;685;8137
"350950 CAMPINAS";11;120;28;1527;3836;3285;2925;14380;21857;21272;16302;18046;16251;13681;15225;25735;17257;13392;205130
"350960 CAMPO LIMPO PAULISTA";-;-;-;-;-;-;70;317;426;263;287;298;-;-;-;-;-;-;1661
"350970 CAMPOS DO JORDAO";-;-;-;-;-;-;675;409;398;669;1348;1291;1934;1667;1264;1698;2345;2018;15716
"350980 CAMPOS NOVOS PAULISTA";-;-;-;-;227;352;369;512;492;461;345;265;284;147;144;200;194;139;4131
"350990 CANANEIA";-;-;-;217;961;261;219;148;249;560;444;322;287;467;403;254;277;284;5353
"350995 CANAS";-;-;-;38;1;4;-;52;154;95;212;179;204;95;153;47;82;37;1353
"351000 CANDIDO MOTA";-;4;87;63;303;8;13;-;48;101;69;80;52;141;146;111;232;43;1501
"351010 CANDIDO RODRIGUES";-;-;-;-;-;-;-;-;-;247;198;209;176;188;135;255;117;37;1562
"351015 CANITAR";-;-;-;3;136;228;33;-;-;2;-;43;2;-;-;-;2;127;576
"351020 CAPAO BONITO";-;-;47;790;2115;3048;3201;2957;2726;1843;2022;2610;2257;2173;2638;2651;2617;2920;36615
"351030 CAPELA DO ALTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"351040 CAPIVARI";-;-;-;-;11;70;240;2;6;75;-;373;509;370;453;322;380;451;3262
"351050 CARAGUATATUBA";-;799;3561;4436;5994;5867;6281;6095;6963;6916;5652;6156;6264;7612;8241;8697;8640;9876;108050
"351060 CARAPICUIBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"351070 CARDOSO";-;-;-;-;-;-;-;-;-;-;-;-;21;307;175;65;414;575;1557
"351080 CASA BRANCA";-;-;-;-;-;55;81;94;173;120;158;121;180;173;183;100;307;69;1814
"351090 CASSIA DOS COQUEIROS";-;4;96;43;112;91;87;196;93;116;168;100;333;95;63;139;128;52;1916
"351100 CASTILHO";-;-;-;-;-;-;-;41;108;143;107;47;14;17;5;12;4;-;498
"351110 CATANDUVA";-;195;315;366;818;1026;1716;1585;1628;982;1061;1393;1003;869;808;918;817;1424;16924
"351120 CATIGUA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;3;2;1;14
"351130 CEDRAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"351140 CERQUEIRA CESAR";-;-;-;-;-;-;139;63;150;290;203;349;290;226;242;424;468;182;3026
"351150 CERQUILHO";-;186;2270;1374;1332;1811;1547;1891;1947;1448;2105;2260;2473;2390;1975;1657;1923;1630;30219
"351160 CESARIO LANGE";-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;156;258;71;507
"351170 CHARQUEADA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"351190 CLEMENTINA";79;323;124;16;530;580;337;527;404;246;95;8;4;50;-;3;-;-;3326
"351200 COLINA";-;-;177;1138;265;-;-;-;-;2;-;-;-;-;2;-;3;-;1587
"351210 COLOMBIA";-;-;-;-;-;-;-;76;121;112;156;118;135;514;374;221;254;268;2349
"351220 CONCHAL";-;-;-;-;54;18;37;418;1039;1950;2345;1417;1041;2089;2098;1942;2464;2554;19466
"351230 CONCHAS";-;-;-;1128;1078;1234;1529;1138;932;1062;1306;1317;1376;1084;1033;927;956;997;17097
"351240 CORDEIROPOLIS";-;-;-;6;285;415;1256;605;653;546;1014;1289;569;844;1070;959;983;1206;11700
"351250 COROADOS";-;-;-;25;87;355;223;328;460;326;280;216;320;337;424;319;502;371;4573
"351260 CORONEL MACEDO";-;-;41;112;95;47;54;414;439;454;329;476;403;186;-;346;227;128;3751
"351270 CORUMBATAI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
